Time (min),Volume of Mixture (ml),Viable Cells (10^6 cells/ml),mAb Concentration (mg/l),Glucose Concentration (g/l),Lactate Concentration (g/l),Viability (%)
1331,5650,1.44056974983,16.6263441483,5.53261190649,0.460603888381,98.8340353365
1332,5650,1.44130002363,16.6437603275,5.53209210841,0.460930726808,98.8339146842
1333,5650,1.44203057717,16.6611853349,5.53157209092,0.461257671502,98.833794021
1334,5650,1.4427614105,16.6786191741,5.53105185398,0.461584722445,98.833673347
1335,5650,1.44349252361,16.6960618483,5.53053139755,0.461911879622,98.8335526621
1336,5650,1.44422391654,16.7135133609,5.53001072158,0.462239143014,98.8334319662
1337,5650,1.44495558929,16.7309737154,5.52948982605,0.462566512605,98.8333112593
1338,5650,1.44568754189,16.7484429151,5.5289687109,0.462893988377,98.8331905414
1339,5650,1.44641977436,16.7659209633,5.5284473761,0.463221570312,98.8330698125
1340,5650,1.44715228671,16.7834078636,5.52792582161,0.463549258393,98.8329490725
1341,5650,1.44788507897,16.8009036192,5.52740404738,0.463877052604,98.8328283213
1342,5650,1.44861815114,16.8184082336,5.52688205337,0.464204952925,98.832707559
1343,5650,1.44935150324,16.83592171,5.52635983956,0.46453295934,98.8325867856
1344,5650,1.45008513531,16.853444052,5.52583740588,0.46486107183,98.8324660008
1345,5650,1.45081904734,16.8709752629,5.52531475231,0.465189290379,98.8323452049
1346,5650,1.45155323936,16.8885153461,5.52479187881,0.465517614968,98.8322243976
1347,5650,1.45228771139,16.9060643049,5.52426878532,0.465846045579,98.832103579
1348,5650,1.45302246344,16.9236221427,5.52374547182,0.466174582195,98.8319827491
1349,5650,1.45375749553,16.941188863,5.52322193827,0.466503224798,98.8318619077
1350,5650,1.45449280768,16.9587644691,5.52269818461,0.466831973369,98.8317410549
1351,5650,1.4552283999,16.9763489645,5.52217421082,0.46716082789,98.8316201907
1352,5650,1.45596427222,16.9939423523,5.52165001686,0.467489788344,98.8314993149
1353,5650,1.45670042464,17.0115446362,5.52112560267,0.467818854711,98.8313784276
1354,5650,1.45743685719,17.0291558194,5.52060096823,0.468148026975,98.8312575287
1355,5650,1.45817356988,17.0467759054,5.52007611349,0.468477305115,98.8311366183
1356,5650,1.45891056272,17.0644048975,5.51955103842,0.468806689115,98.8310156962
1357,5650,1.45964783574,17.0820427991,5.51902574297,0.469136178955,98.8308947624
1358,5650,1.46038538895,17.0996896136,5.5185002271,0.469465774617,98.8307738169
1359,5650,1.46112322236,17.1173453444,5.51797449077,0.469795476082,98.8306528596
1360,5650,1.461861336,17.1350099949,5.51744853395,0.470125283332,98.8305318906
1361,5650,1.46259972987,17.1526835684,5.5169223566,0.470455196348,98.8304109098
1362,5650,1.463338404,17.1703660684,5.51639595867,0.470785215112,98.8302899171
1363,5650,1.4640773584,17.1880574982,5.51586934012,0.471115339603,98.8301689126
1364,5650,1.46481659309,17.2057578612,5.51534250092,0.471445569804,98.8300478961
1365,5650,1.46555610807,17.2234671609,5.51481544103,0.471775905696,98.8299268677
1366,5650,1.46629590338,17.2411854005,5.51428816041,0.472106347259,98.8298058273
1367,5650,1.46703597901,17.2589125836,5.51376065901,0.472436894475,98.8296847748
1368,5650,1.46777633499,17.2766487134,5.5132329368,0.472767547323,98.8295637104
1369,5650,1.46851697134,17.2943937934,5.51270499374,0.473098305786,98.8294426338
1370,5650,1.46925788806,17.3121478269,5.51217682979,0.473429169844,98.8293215451
1371,5650,1.46999908517,17.3299108174,5.51164844491,0.473760139477,98.8292004443
1372,5650,1.4707405627,17.3476827682,5.51111983906,0.474091214667,98.8290793312
1373,5650,1.47148232064,17.3654636827,5.5105910122,0.474422395393,98.828958206
1374,5650,1.47222435903,17.3832535644,5.5100619643,0.474753681636,98.8288370684
1375,5650,1.47296667786,17.4010524165,5.50953269531,0.475085073376,98.8287159186
1376,5650,1.47370927716,17.4188602425,5.50900320519,0.475416570595,98.8285947565
1377,5650,1.47445215694,17.4366770458,5.50847349391,0.475748173272,98.828473582
1378,5650,1.47519531722,17.4545028298,5.50794356143,0.476079881387,98.8283523951
1379,5650,1.47593875801,17.4723375979,5.50741340771,0.476411694921,98.8282311957
1380,5650,1.47668247932,17.4901813534,5.50688303271,0.476743613853,98.8281099839
1381,5650,1.47742648117,17.5080340997,5.50635243639,0.477075638165,98.8279887596
